"ID","year","border","range","column","treatment","plot","type","TDP_","genotype","TDP__1","Type_1","Accession","Red","Green","Blue","NGRDI","BGI","GLI","BI","SI","VARI","AreaPercentage","PlantHeight"
494,2023,1,1,1,"WL",101,"border",NA,NA,NA,NA,NA,99.1012891344383,124.910497237569,71.4088397790055,0.128289169649083,0.541992075137348,0.210567729791628,101.485524093271,0.189982155787774,0.178662330510957,10.787,7.06873327434392
475,2023,1,1,2,"WL",102,"border",NA,NA,NA,NA,NA,90.4727129956812,118.306635257165,61.1770710639969,0.14132805560244,0.504610896300715,0.229662408520816,93.2305759994673,0.204183356619716,0.195701084469745,17.264,7.07841117268784
456,2023,1,1,3,"WL",103,"border",NA,NA,NA,NA,NA,97.581094049904,120.709692898273,65.1703454894434,0.111201911265043,0.531852504365397,0.201462570470498,97.4009761517288,0.205174276178209,0.156037941004964,15.011,7.06091435994388
437,2023,1,1,4,"WL",104,"border",NA,NA,NA,NA,NA,94.5887335874629,120.167725540025,64.3341804320203,0.12460605714497,0.526447177261868,0.211349389936514,96.0024257404659,0.197498322154791,0.17496280873319,15.238,7.04650538960335
418,2023,1,1,5,"WL",105,"border",NA,NA,NA,NA,NA,105.204605263158,127.076973684211,70.5993421052632,0.0991120801280325,0.54623836698019,0.18936680360178,103.815662688706,0.204485049299691,0.13986909317031,4.249,7.02631004735043
399,2023,1,1,6,"WL",106,"border",NA,NA,NA,NA,NA,102.617424242424,126.175865800866,71.3630952380952,0.108525190172531,0.555282867632276,0.191631376747391,102.754026238023,0.187320844483527,0.154941850740743,13.342,7.0220910604898
380,2023,1,1,7,"WL",107,"border",NA,NA,NA,NA,NA,113.408266129032,130.243951612903,79.6300403225806,0.0741456362308041,0.602072244521594,0.155487766850802,109.979533371176,0.180579437390665,0.108162550019468,14.773,7.02214351777107
361,2023,1,1,8,"WL",108,"border",NA,NA,NA,NA,NA,108.390611902766,126.249790444258,79.7376362112322,0.0805165551546518,0.622443271624834,0.152294704432639,106.703995607759,0.157902843480287,0.119969293057066,8.542,7.01578687362479
342,2023,1,1,9,"WL",109,"border",NA,NA,NA,NA,NA,98.2674897119342,123.307270233196,75.323731138546,0.121866049212157,0.597128788689902,0.1847203001396,101.149463661419,0.13913363632601,0.18046289291468,11.535,7.0301345943805
323,2023,1,1,10,"WL",110,"border",NA,NA,NA,NA,NA,100.22383252818,124.600107353731,76.9935587761675,0.119577308960034,0.602652056330302,0.181638048148455,102.770214814294,0.137305795113111,0.177198097002297,10.392,7.03525817183097
304,2023,1,1,11,"WL",111,"border",NA,NA,NA,NA,NA,102.903262736119,124.632512879222,78.1534058385804,0.104532985867352,0.614851079171659,0.168675851621094,103.889046658783,0.1409864828339,0.15593990570613,14.964,7.02561864214211
285,2023,1,1,12,"WL",112,"border",NA,NA,NA,NA,NA,123.63071391885,142.084745762712,101.668721109399,0.081772628046119,0.680574805384914,0.136053897087069,124.081616542199,0.118727729622926,0.124270511447673,12.838,7.02093933763783
228,2023,2,1,15,"WW",113,"border",NA,NA,NA,NA,NA,127.174382716049,146.234053497942,104.333847736626,0.0819584757590215,0.680409008413992,0.136372996827674,127.609112672726,0.11920079034988,0.124150359278937,9.196,7.02870722955146
209,2023,2,1,16,"WW",114,"border",NA,NA,NA,NA,NA,113.818604651163,134.850581395349,86.6959302325581,0.0909360870469547,0.633653656433038,0.154827027384327,113.736064699107,0.139579178155569,0.13626078399496,14.893,7.02864397625591
190,2023,2,1,17,"WW",115,"border",NA,NA,NA,NA,NA,106.814374646293,129.940577249576,82.708545557442,0.104835358653708,0.625417576781715,0.165297904301121,108.472280458013,0.132523570671496,0.157784104812481,10.751,7.0304251963902
